Movie,Genre,Director,Year,Rating,Budget,Revenue
Movie 1,Thriller,Director D,2011,7.7,121,465
Movie 2,Action,Director C,2013,7.1,245,1025
Movie 3,Action,Director E,2017,7.8,124,585
Movie 4,Sci-Fi,Director C,2021,7.4,210,433
Movie 5,Sci-Fi,Director E,2011,7.8,34,122
Movie 6,Thriller,Director D,2012,8.1,101,463
Movie 7,Thriller,Director D,2020,7.5,64,87
Movie 8,Action,Director D,2018,8.9,177,863
Movie 9,Comedy,Director E,2016,7.6,105,201
Movie 10,Action,Director D,2016,6.3,129,483
Movie 11,Drama,Director A,2024,5.9,212,506
Movie 12,Thriller,Director C,2021,7.1,205,470
Movie 13,Thriller,Director D,2013,7.6,52,63
Movie 14,Thriller,Director D,2021,5.7,173,720
Movie 15,Drama,Director C,2018,6.8,151,246
Movie 16,Thriller,Director D,2016,5.5,128,525
Movie 17,Sci-Fi,Director C,2018,7.6,147,346
Movie 18,Action,Director B,2019,7.8,120,330
Movie 19,Romance,Director A,2024,6.2,74,167
Movie 20,Comedy,Director C,2023,6.6,172,718
Movie 21,Sci-Fi,Director C,2024,7.4,113,207
Movie 22,Action,Director A,2015,5.9,40,118
Movie 23,Action,Director E,2020,7.4,135,519
Movie 24,Drama,Director A,2017,6.6,108,388
Movie 25,Drama,Director E,2019,5.8,40,194
Movie 26,Romance,Director C,2015,6.7,181,883
Movie 27,Thriller,Director B,2013,6.2,185,413
Movie 28,Action,Director C,2011,7.8,228,448
Movie 29,Comedy,Director E,2020,6.5,153,681
Movie 30,Thriller,Director C,2010,7.2,186,666
Movie 31,Sci-Fi,Director A,2012,6.1,170,472
Movie 32,Action,Director A,2021,7.8,134,234
Movie 33,Action,Director A,2020,6.4,155,730
Movie 34,Sci-Fi,Director C,2024,7.6,100,128
Movie 35,Romance,Director C,2012,7.3,131,198
Movie 36,Drama,Director D,2014,7.4,133,448
Movie 37,Drama,Director E,2018,6.3,81,257
Movie 38,Drama,Director B,2022,8.0,24,110
Movie 39,Action,Director B,2018,5.5,147,551
Movie 40,Comedy,Director B,2011,8.6,172,708
Movie 41,Action,Director D,2014,5.9,231,310
Movie 42,Sci-Fi,Director C,2012,6.3,105,448
Movie 43,Comedy,Director B,2024,7.3,240,757
Movie 44,Comedy,Director E,2023,7.4,236,323
Movie 45,Drama,Director E,2014,7.2,249,1007
Movie 46,Romance,Director B,2022,7.3,226,542
Movie 47,Thriller,Director B,2010,8.0,172,268
Movie 48,Thriller,Director B,2021,5.9,80,169
Movie 49,Action,Director A,2010,6.8,211,396
Movie 50,Sci-Fi,Director D,2015,8.3,222,528
Movie 51,Thriller,Director B,2024,7.0,244,426
Movie 52,Action,Director A,2024,7.1,73,275
Movie 53,Action,Director B,2024,6.2,136,463
Movie 54,Comedy,Director E,2016,7.8,205,821
Movie 55,Action,Director C,2022,7.4,48,130
Movie 56,Comedy,Director A,2024,7.5,132,637
Movie 57,Comedy,Director E,2017,6.8,233,771
